,title,netizen_grade,critic_grade,num_audience
0,신과함께-인과 연,6.8,6.3,12276115
1,어벤져스: 인피니티 워,7.6,7.3,11212710
2,보헤미안 랩소디,9.0,6.3,9948386
3,미션 임파서블: 폴아웃,8.1,7.7,6584919
4,신과함께-죄와 벌,7.0,6.0,14411675
5,쥬라기 월드: 폴른 킹덤,7.1,6.2,5661128
6,앤트맨과 와스프,7.4,6.2,5448134
7,안시성,7.7,6.4,5441020
8,블랙 팬서,6.1,6.9,5399327
9,완벽한 타인,7.5,6.6,5294154
10,1987,9.5,7.9,7232387
11,독전,6.5,5.5,5063844
12,공작,8.3,7.1,4975362
13,베놈,7.2,4.5,3887973
14,암수살인,7.5,7.5,3789222
15,데드풀 2,0.0,NA,NA
16,국가부도의 날,8.1,6.5,3755133
17,코코,8.9,8.1,3513114
18,아쿠아맨,7.5,7.2,5038138
19,그것만이 내 세상,8.7,5.4,3419753
20,마녀,8.0,5.3,3189091
21,탐정: 리턴즈,7.4,5.6,3152895
22,인크레더블 2,8.0,7.3,3033105
23,서치,8.3,7.2,2950097
24,너의 결혼식,7.4,5.8,2820685
25,곤지암,4.9,6.2,2675883
26,지금 만나러 갑니다,7.9,5.8,2602273
27,목격자,5.5,5.0,2524634
28,조선명탐정: 흡혈괴마의 비밀,6.6,5.4,2444145
29,신비한 동물들과 그린델왈드의 범죄,5.9,5.4,2414195
30,메이즈 러너: 데스 큐어,7.1,5.0,2299751
31,맘마미아!2,7.8,6.6,2293884
32,레디 플레이어 원,7.9,8.2,2254442
33,명당,6.7,5.7,2086418
34,협상,7.1,5.5,1967149
35,마약왕,5.5,5.1,1864077
36,쥬만지: 새로운 세계,7.4,5.8,1711270
37,창궐,5.7,5.2,1599598
38,성난황소,6.4,5.1,1593386
39,도어락,6.3,6.1,1561258
40,리틀 포레스트,8.3,6.1,1506911
41,골든슬럼버,5.2,5.1,1387562
42,램페이지,6.7,5.0,1385517
43,궁합,6.5,4.1,1340149
44,오션스8,6.8,5.9,1335839
45,사라진 밤,6.9,5.0,1315735
46,스윙키즈,8.5,6.6,1472932
47,바람 바람 바람,6.1,5.1,1194239
48,PMC: 더 벙커,5.4,6.8,1671548
49,범블비,7.5,6.7,1561643
0,극한직업,7.4,NA,16264864
1,어벤져스: 엔드게임,7.8,NA,13934587
2,알라딘,8.4,NA,12518951
3,기생충,7.8,NA,10080931
4,엑시트,7.9,NA,8362282
5,스파이더맨: 파 프롬 홈,6.6,NA,8020786
6,캡틴 마블,6.3,NA,5801070
7,라이온 킹,7.4,NA,4742374
8,봉오동 전투,8.8,NA,4513296
9,토이 스토리 4,8.7,NA,3396300
10,돈,6.7,NA,3389036
11,악인전,7.5,NA,3364360
12,분노의 질주: 홉스&쇼,7.5,NA,2969816
13,말모이,9.0,6.5,2866020
14,증인,9.3,NA,2534175
15,사바하,7.2,NA,2398519
16,알리타: 배틀 엔젤,8.3,NA,1952063
17,내안의 그놈,7.7,5.0,1916930
18,뺑반,6.3,NA,1826714
19,주먹왕 랄프 2: 인터넷 속으로,7.6,NA,1758891
20,걸캅스,6.6,NA,1628963
21,사자,7.1,NA,1609434
22,아쿠아맨,7.5,7.2,5038138
23,드래곤 길들이기 3,8.4,NA,1506965
24,나의 특별한 형제,8.6,NA,1476240
25,어스,5.7,NA,1475088
26,생일,8.5,NA,1197424
27,항거:유관순 이야기,8.9,NA,1157887
28,마이펫의 이중생활 2,7.9,NA,1101336
29,롱 리브 더 킹: 목포 영웅,7.7,NA,1093774
30,존 윅 3: 파라벨룸,7.2,NA,1004116
31,나랏말싸미,4.5,NA,953979
32,엑스맨: 다크 피닉스,6.5,NA,862633
33,맨 인 블랙: 인터내셔널,5.3,NA,851040
34,변신,7.5,NA,769636
35,뽀로로 극장판 보물섬 대모험,7.4,NA,766758
36,레드슈즈,9.1,NA,763058
37,보헤미안 랩소디,8.9,6.3,9948386
38,명탐정 피카츄,7.1,NA,686811
39,샤잠!,5.6,NA,657294
40,극장판 헬로카봇: 옴파로스 섬의 비밀,7.3,NA,575353
41,이스케이프 룸,6.7,NA,563114
42,PMC: 더 벙커,5.3,6.8,1671548
43,애나벨 집으로,6.0,NA,481766
44,글래스,6.5,NA,466575
45,광대들: 풍문조작단,6.7,NA,433753
46,그린 북,9.2,8.0,433980
47,장난스런 키스,8.1,NA,428009
48,해피 데스데이 2 유,6.5,NA,412850
49,극장판 공룡메카드: 타이니소어의 섬,6.8,NA,410273
